production_id,production_date,machine_id,product_id,location_id,shift,units_produced,defect_count,defect_rate,production_hours,production_status
PROD_0083962,2022-09-19,MACH_001087,PROD_02776,LOC_00214,Night,342,2,0.0058,11.21,Completed
PROD_0254123,2023-08-09,MACH_000584,PROD_04167,LOC_00192,Evening,258,1,0.0039,2.11,Completed
PROD_0141379,2023-09-10,MACH_000790,PROD_03814,LOC_00172,Morning,250,8,0.032,11.74,Completed
PROD_0151755,2023-04-05,MACH_000775,PROD_02022,LOC_00058,Night,321,3,0.0093,5.12,Completed
PROD_0125014,2025-05-07,MACH_000193,PROD_02670,LOC_00011,Night,429,1,0.0023,11.15,Completed
PROD_0273553,2025-05-20,MACH_001135,PROD_04882,LOC_00133,Morning,253,1,0.004,4.73,Completed
PROD_0201854,2021-08-18,MACH_001132,PROD_03820,LOC_00043,Evening,188,5,0.0266,10.38,Completed
PROD_0099512,2026-06-03,MACH_000248,PROD_00175,LOC_00154,Evening,407,11,0.027,8.37,Completed
PROD_0025141,2021-01-18,MACH_000274,PROD_04461,LOC_00235,Night,348,16,0.046,11.62,Completed
PROD_0007604,2021-11-05,MACH_001413,PROD_03175,LOC_00226,Morning,423,0,0.0,4.11,Completed
PROD_0084096,2021-11-17,MACH_000735,PROD_01972,LOC_00162,Night,154,1,0.0065,8.08,Completed
PROD_0084072,2024-05-09,MACH_001123,PROD_00197,LOC_00068,Evening,158,1,0.0063,8.54,Completed
PROD_0151178,2022-12-29,MACH_000550,PROD_04931,LOC_00242,Night,270,2,0.0074,5.13,Completed
PROD_0294082,2023-12-01,MACH_000694,PROD_04554,LOC_00055,Morning,374,3,0.008,4.82,Completed
PROD_0088695,2024-01-31,MACH_000222,PROD_01884,LOC_00165,Morning,492,18,0.0366,9.32,Completed
PROD_0099933,2023-02-10,MACH_001426,PROD_00926,LOC_00086,Morning,306,3,0.0098,7.48,Completed
PROD_0014443,2021-07-14,MACH_000349,PROD_00234,LOC_00092,Night,203,2,0.0099,8.9,Completed
PROD_0162221,2021-10-27,MACH_000563,PROD_02343,LOC_00178,Evening,304,2,0.0066,8.28,UNKNOWN
PROD_0163632,2024-12-02,MACH_001086,PROD_00997,LOC_00094,Evening,408,14,0.0343,10.08,In Progress
PROD_0049024,2021-11-20,MACH_000496,PROD_03316,LOC_00160,Morning,242,2,0.0083,10.64,Completed
PROD_0080645,2026-05-25,MACH_000907,PROD_02297,LOC_00249,Morning,303,5,0.0165,5.42,Completed
PROD_0274017,2025-10-14,MACH_000011,PROD_04600,LOC_00148,Night,153,4,0.0261,11.74,Completed
PROD_0064877,2021-10-10,MACH_001302,PROD_04680,LOC_00051,Evening,424,12,0.0283,5.95,UNKNOWN
PROD_0156697,2026-05-10,MACH_000690,PROD_02165,LOC_00101,Evening,480,8,0.0167,9.43,Completed
PROD_0295992,2026-05-26,MACH_001209,PROD_00800,LOC_00036,Morning,196,5,0.0255,2.93,Completed
PROD_0192038,2026-02-01,MACH_000284,PROD_03146,LOC_00175,Evening,331,5,0.0151,7.17,Completed
PROD_0118766,2021-10-12,MACH_000711,PROD_01746,LOC_00060,Night,170,2,0.0118,10.58,Completed
PROD_0094749,2021-12-17,MACH_000273,PROD_03808,LOC_00035,Evening,365,10,0.0274,11.11,Completed
PROD_0251765,2026-05-08,MACH_000063,PROD_02297,LOC_00081,Morning,426,0,0.0,5.99,Completed
PROD_0060382,2021-06-12,MACH_000696,PROD_03161,LOC_00106,Night,66,2,0.0303,8.62,Completed
PROD_0283939,2022-03-16,MACH_000363,PROD_01430,LOC_00019,Night,204,1,0.0049,8.99,Completed
PROD_0195996,2022-09-05,MACH_000077,PROD_00776,LOC_00116,Night,261,7,0.0268,10.09,Completed
PROD_0112779,2024-04-09,MACH_000971,PROD_03373,LOC_00140,Evening,150,4,0.0267,7.16,Completed
PROD_0076728,2023-06-26,MACH_000696,PROD_02811,LOC_00109,Morning,358,2,0.0056,5.07,In Progress
PROD_0021436,2024-02-09,MACH_000804,PROD_00400,LOC_00102,Night,488,9,0.0184,11.56,Completed
PROD_0017469,2026-03-29,MACH_000185,PROD_03674,LOC_00152,Evening,459,6,0.0131,10.1,Completed
PROD_0225674,2022-11-06,MACH_001427,PROD_00108,LOC_00215,Morning,470,14,0.0298,9.92,Completed
PROD_0079760,2021-03-23,MACH_000622,PROD_01809,LOC_00094,Night,413,5,0.0121,8.39,Completed
PROD_0257600,2022-10-04,MACH_001084,PROD_02111,LOC_00246,Morning,165,0,0.0,3.73,Completed
PROD_0270721,2025-02-25,MACH_001491,PROD_03804,LOC_00162,Morning,273,6,0.022,4.73,Completed
PROD_0153802,2021-08-08,MACH_000437,PROD_04356,LOC_00167,Evening,333,6,0.018,7.07,Completed
PROD_0092267,2021-09-03,MACH_000041,PROD_03982,LOC_00192,Night,172,7,0.0407,8.73,Completed
PROD_0207330,2026-03-14,MACH_000495,PROD_01631,LOC_00191,Night,477,0,0.0,7.1,Completed
PROD_0243956,2021-05-03,MACH_001297,PROD_01293,LOC_00052,Evening,351,0,0.0,3.7,Completed
PROD_0288929,2022-04-01,MACH_000451,PROD_02527,LOC_00005,Morning,498,18,0.0361,3.64,Completed
PROD_0186601,2025-02-03,MACH_000880,PROD_04133,LOC_00113,Night,95,3,0.0316,6.92,Completed
PROD_0048006,2024-12-15,MACH_000015,PROD_02020,LOC_00153,Morning,225,10,0.0444,2.08,Completed
PROD_0212521,2026-01-26,MACH_000956,PROD_00082,LOC_00166,Night,277,3,0.0108,4.5,Completed
PROD_0294076,2022-07-27,MACH_000408,PROD_02277,LOC_00012,Evening,436,1,0.0023,11.12,In Progress
PROD_0131576,2024-08-30,MACH_000898,PROD_04813,LOC_00108,Evening,260,6,0.0231,2.13,In Progress
PROD_0202058,2026-01-15,MACH_001485,PROD_01432,LOC_00205,Morning,160,1,0.0063,4.41,Completed
PROD_0239161,2026-01-20,MACH_000034,PROD_01642,LOC_00159,Morning,420,18,0.0429,6.2,Completed
PROD_0092612,2022-02-24,MACH_000098,PROD_02966,LOC_00020,Evening,194,1,0.0052,4.2,Completed
PROD_0268352,2022-05-20,MACH_000124,PROD_00413,LOC_00157,Morning,349,3,0.0086,8.91,Completed
PROD_0259110,2025-01-21,MACH_000531,PROD_02572,LOC_00062,Evening,185,2,0.0108,2.07,UNKNOWN
PROD_0265329,2024-05-26,MACH_000792,PROD_00425,LOC_00061,Evening,411,6,0.0146,3.52,Completed
PROD_0229145,2025-07-27,MACH_000014,PROD_04882,LOC_00150,Night,165,2,0.0121,7.65,In Progress
PROD_0261303,2022-09-11,MACH_001259,PROD_03264,LOC_00030,Evening,389,8,0.0206,8.8,Completed
PROD_0084118,2023-01-05,MACH_000700,PROD_01131,LOC_00064,Night,54,0,0.0,4.1,Completed
PROD_0031190,2024-07-31,MACH_000424,PROD_02356,LOC_00140,Morning,316,0,0.0,9.93,In Progress
PROD_0107255,2022-06-01,MACH_000804,PROD_03890,LOC_00238,Evening,87,1,0.0115,4.1,Completed
PROD_0192799,2022-11-17,MACH_000451,PROD_00996,LOC_00137,Night,426,16,0.0376,9.85,Completed
PROD_0028084,2024-10-21,MACH_001135,PROD_04802,LOC_00037,Morning,234,6,0.0256,2.94,Completed
PROD_0118790,2025-11-29,MACH_001275,PROD_01031,LOC_00129,Evening,166,0,0.0,8.53,Completed
PROD_0002153,2021-04-23,MACH_001049,PROD_00069,LOC_00004,Morning,448,11,0.0246,2.83,Completed
PROD_0287027,2026-06-06,MACH_000579,PROD_01982,LOC_00018,Morning,176,1,0.0057,11.44,Completed
PROD_0249170,2023-09-03,MACH_000065,PROD_03422,LOC_00174,Evening,489,22,0.045,6.32,Completed
PROD_0137540,2022-11-21,MACH_001080,PROD_03054,LOC_00233,Evening,90,3,0.0333,3.08,UNKNOWN
PROD_0046292,2024-06-23,MACH_001461,PROD_00596,LOC_00072,Evening,177,5,0.0282,3.79,Completed
PROD_0030234,2023-09-23,MACH_000131,PROD_02968,LOC_00232,Morning,460,3,0.0065,5.0,Completed
PROD_0175146,2022-02-14,MACH_000744,PROD_04455,LOC_00113,Morning,327,3,0.0092,5.16,Completed
PROD_0050677,2022-04-22,MACH_001437,PROD_00092,LOC_00108,Morning,157,2,0.0127,11.22,Completed
PROD_0071571,2023-10-03,MACH_000190,PROD_03994,LOC_00002,Morning,289,10,0.0346,8.77,Failed
PROD_0219844,2024-11-10,MACH_001239,PROD_03016,LOC_00089,Morning,80,2,0.025,5.08,Completed
PROD_0036280,2021-09-30,MACH_000595,PROD_01461,LOC_00083,Evening,239,0,0.0,5.95,Completed
PROD_0066053,2023-09-14,MACH_000705,PROD_00881,LOC_00013,Night,236,8,0.0339,9.48,Completed
PROD_0252610,2024-04-05,MACH_001323,PROD_02447,LOC_00129,Evening,200,9,0.045,6.4,Completed
PROD_0024784,2025-03-09,MACH_000754,PROD_01305,LOC_00016,Evening,366,0,0.0,4.47,Completed
PROD_0299328,2023-08-26,MACH_001254,PROD_00789,LOC_00070,Night,424,8,0.0189,6.45,Completed
PROD_0095350,2021-11-04,MACH_000311,PROD_02433,LOC_00103,Morning,260,3,0.0115,4.92,Completed
PROD_0046333,2022-08-27,MACH_001109,PROD_03241,LOC_00247,Night,318,11,0.0346,8.54,Completed
PROD_0091241,2022-08-21,MACH_001319,PROD_02126,LOC_00250,Morning,105,0,0.0,4.92,Completed
PROD_0005446,2026-04-25,MACH_000559,PROD_03172,LOC_00089,Morning,463,4,0.0086,10.46,In Progress
PROD_0272877,2025-06-14,MACH_000139,PROD_04489,LOC_00198,Night,78,0,0.0,3.33,Completed
PROD_0043812,2025-11-08,MACH_001227,PROD_00443,LOC_00224,Night,89,3,0.0337,6.79,In Progress
PROD_0217083,2023-08-19,MACH_000121,PROD_01180,LOC_00101,Morning,216,3,0.0139,7.21,Failed
PROD_0100371,2025-06-06,MACH_000446,PROD_04671,LOC_00119,Night,274,6,0.0219,10.87,Completed
PROD_0258875,2025-05-16,MACH_000169,PROD_03581,LOC_00152,Night,157,5,0.0318,11.48,Completed
PROD_0121950,2026-04-09,MACH_000442,PROD_02083,LOC_00230,Morning,112,1,0.0089,5.63,Completed
PROD_0212951,2023-07-05,MACH_000099,PROD_04897,LOC_00018,Evening,300,9,0.03,3.49,Completed
PROD_0200058,2023-12-12,MACH_001495,PROD_04187,LOC_00057,Morning,293,11,0.0375,7.38,In Progress
PROD_0229178,2022-10-20,MACH_001280,PROD_01289,LOC_00191,Evening,238,0,0.0,9.06,Completed
PROD_0287839,2026-06-10,MACH_000782,PROD_02341,LOC_00007,Morning,445,13,0.0292,9.76,UNKNOWN
PROD_0213119,2024-02-22,MACH_001411,PROD_02872,LOC_00029,Night,177,0,0.0,8.04,Completed
PROD_0176476,2023-01-03,MACH_000282,PROD_00216,LOC_00147,Evening,269,0,0.0,5.7,Completed
PROD_0118177,2023-07-02,MACH_001081,PROD_02145,LOC_00096,Evening,333,15,0.045,10.45,Completed
PROD_0209025,2025-02-14,MACH_000266,PROD_00834,LOC_00160,Evening,358,1,0.0028,10.33,Completed
PROD_0221907,2021-10-24,MACH_000805,PROD_02029,LOC_00210,Morning,478,20,0.0418,10.95,Completed
PROD_0042494,2026-02-13,MACH_000270,PROD_03642,LOC_00233,Evening,259,0,0.0,11.35,Completed
PROD_0223729,2022-06-09,MACH_000830,PROD_03639,LOC_00128,Evening,380,14,0.0368,7.29,Completed
PROD_0141994,2025-08-31,MACH_001173,PROD_01447,LOC_00008,Evening,100,1,0.01,4.77,Completed
PROD_0055676,2025-02-01,MACH_000574,PROD_00926,LOC_00131,Night,412,1,0.0024,8.83,Completed
PROD_0224088,2023-08-10,MACH_000570,PROD_01202,LOC_00108,Morning,320,5,0.0156,10.96,Completed
PROD_0083656,2025-04-05,MACH_000314,PROD_01531,LOC_00147,Evening,147,3,0.0204,11.83,Completed
PROD_0061918,2025-12-17,MACH_000732,PROD_00427,LOC_00101,Evening,401,4,0.01,9.72,Completed
PROD_0153666,2024-05-09,MACH_000544,PROD_04113,LOC_00093,Night,336,8,0.0238,8.6,Completed
PROD_0155759,2024-08-25,MACH_001203,PROD_02872,LOC_00107,Night,438,18,0.0411,2.52,Completed
PROD_0190394,2022-03-11,MACH_000103,PROD_03767,LOC_00047,Night,374,5,0.0134,5.58,Completed
PROD_0231051,2022-02-20,MACH_000093,PROD_04077,LOC_00045,Morning,288,9,0.0312,5.55,Completed
PROD_0201123,2021-04-05,MACH_001057,PROD_02226,LOC_00194,Night,166,4,0.0241,4.03,Completed
PROD_0059268,2025-07-28,MACH_000418,PROD_01355,LOC_00117,Evening,404,19,0.047,7.4,Completed
PROD_0262488,2021-01-04,MACH_000331,PROD_00296,LOC_00076,Night,228,1,0.0044,7.55,Completed
PROD_0188583,2025-05-17,MACH_001413,PROD_01138,LOC_00148,Night,126,3,0.0238,10.0,Completed
PROD_0131815,2022-05-22,MACH_000882,PROD_02091,LOC_00081,Evening,138,2,0.0145,4.15,Completed
PROD_0073950,2026-06-14,MACH_000783,PROD_03599,LOC_00167,Morning,63,1,0.0159,3.2,Completed
PROD_0154309,2023-10-19,MACH_001156,PROD_01339,LOC_00018,Morning,323,4,0.0124,6.58,Completed
PROD_0167195,2023-01-12,MACH_001400,PROD_02594,LOC_00054,Evening,169,0,0.0,7.77,Completed
PROD_0277394,2024-09-04,MACH_000009,PROD_02007,LOC_00137,Night,56,0,0.0,4.83,Completed
PROD_0196836,2025-06-06,MACH_001163,PROD_02479,LOC_00211,Morning,51,1,0.0196,6.7,Completed
PROD_0091691,2021-03-25,MACH_000543,PROD_02548,LOC_00214,Night,239,9,0.0377,3.08,Completed
PROD_0162087,2022-05-21,MACH_000701,PROD_00824,LOC_00216,Night,387,11,0.0284,10.65,Completed
PROD_0231059,2021-09-22,MACH_000599,PROD_03859,LOC_00018,Night,353,10,0.0283,8.87,Completed
PROD_0054121,2022-10-23,MACH_000332,PROD_04448,LOC_00031,Morning,331,6,0.0181,3.7,Completed
PROD_0247859,2021-06-13,MACH_000938,PROD_01999,LOC_00160,Evening,435,13,0.0299,10.69,Completed
PROD_0098093,2023-06-17,MACH_001266,PROD_02576,LOC_00176,Night,231,0,0.0,3.56,Completed
PROD_0271916,2023-07-03,MACH_000017,PROD_01296,LOC_00043,Morning,142,3,0.0211,3.79,Completed
PROD_0044678,2023-05-25,MACH_000044,PROD_00077,LOC_00116,Night,250,11,0.044,3.93,Completed
PROD_0056079,2024-06-07,MACH_000743,PROD_03766,LOC_00248,Night,289,6,0.0208,6.47,UNKNOWN
PROD_0129376,2021-05-08,MACH_000067,PROD_00814,LOC_00161,Night,154,1,0.0065,7.14,Completed
PROD_0133362,2021-09-14,MACH_000644,PROD_01961,LOC_00101,Morning,97,1,0.0103,10.39,Completed
PROD_0085867,2025-10-24,MACH_000565,PROD_01230,LOC_00066,Night,456,10,0.0219,3.76,Completed
PROD_0191560,2025-06-30,MACH_001185,PROD_02426,LOC_00175,Night,384,3,0.0078,9.39,Completed
PROD_0218729,2024-12-28,MACH_000619,PROD_04758,LOC_00220,Night,347,0,0.0,7.33,Completed
PROD_0208772,2022-09-30,MACH_000639,PROD_01414,LOC_00149,Evening,496,5,0.0101,11.5,Completed
PROD_0109196,2023-12-25,MACH_000071,PROD_04637,LOC_00004,Evening,210,3,0.0143,2.15,UNKNOWN
PROD_0039550,2024-08-29,MACH_001134,PROD_01551,LOC_00215,Night,119,1,0.0084,8.68,Completed
PROD_0169829,2023-08-07,MACH_001017,PROD_03939,LOC_00240,Night,248,8,0.0323,5.84,Completed
PROD_0057417,2025-05-16,MACH_000150,PROD_01179,LOC_00066,Morning,78,0,0.0,11.44,Completed
PROD_0033194,2024-11-29,MACH_000564,PROD_03145,LOC_00022,Evening,472,13,0.0275,4.7,UNKNOWN
PROD_0173866,2024-04-05,MACH_000879,PROD_01503,LOC_00121,Evening,251,0,0.0,5.08,Completed
PROD_0050920,2026-05-27,MACH_000097,PROD_02888,LOC_00110,Morning,76,1,0.0132,9.34,Completed
PROD_0108505,2025-02-13,MACH_000114,PROD_02500,LOC_00063,Night,305,13,0.0426,6.14,UNKNOWN
PROD_0072964,2024-02-01,MACH_000402,PROD_03260,LOC_00099,Morning,322,14,0.0435,8.27,Completed
PROD_0270713,2022-10-29,MACH_000706,PROD_01886,LOC_00087,Morning,123,1,0.0081,3.48,Completed
PROD_0063505,2024-05-14,MACH_001193,PROD_04725,LOC_00016,Evening,176,2,0.0114,2.67,Completed
PROD_0026897,2021-02-17,MACH_000193,PROD_03557,LOC_00246,Morning,412,16,0.0388,5.57,Completed
PROD_0261153,2023-12-14,MACH_001191,PROD_03934,LOC_00049,Morning,300,11,0.0367,9.1,Completed
PROD_0008839,2021-01-05,MACH_000965,PROD_02666,LOC_00077,Evening,369,14,0.0379,11.86,UNKNOWN
PROD_0016065,2026-02-11,MACH_001027,PROD_00882,LOC_00192,Evening,356,4,0.0112,6.69,Completed
PROD_0107662,2022-10-07,MACH_000180,PROD_01823,LOC_00092,Morning,459,21,0.0458,11.93,In Progress
PROD_0130162,2022-03-26,MACH_000081,PROD_01185,LOC_00243,Evening,168,4,0.0238,3.02,Completed
PROD_0179574,2025-06-06,MACH_001077,PROD_04147,LOC_00137,Evening,201,6,0.0299,10.27,Completed
PROD_0116122,2025-03-31,MACH_000706,PROD_02358,LOC_00174,Evening,430,13,0.0302,2.29,Completed
PROD_0032235,2024-01-17,MACH_000865,PROD_04532,LOC_00171,Night,317,5,0.0158,5.44,Completed
PROD_0191737,2023-05-07,MACH_000115,PROD_02830,LOC_00152,Morning,237,2,0.0084,10.06,Completed
PROD_0057457,2023-01-16,MACH_000444,PROD_00786,LOC_00123,Night,338,0,0.0,8.41,In Progress
PROD_0160503,2021-06-22,MACH_000635,PROD_03431,LOC_00141,Evening,93,0,0.0,8.32,Completed
PROD_0215796,2022-08-28,MACH_001231,PROD_01109,LOC_00057,Morning,370,14,0.0378,6.17,Completed
PROD_0126715,2022-02-24,MACH_000517,PROD_00897,LOC_00197,Night,482,21,0.0436,3.52,Completed
PROD_0173048,2023-10-02,MACH_001386,PROD_03990,LOC_00124,Evening,136,0,0.0,3.6,In Progress
PROD_0097727,2025-02-01,MACH_001049,PROD_01862,LOC_00050,Morning,290,12,0.0414,8.08,UNKNOWN
PROD_0193812,2024-07-28,MACH_000506,PROD_03485,LOC_00180,Evening,361,7,0.0194,8.76,Completed
PROD_0017157,2023-07-16,MACH_001495,PROD_04765,LOC_00223,Evening,379,5,0.0132,7.92,Completed
PROD_0071056,2022-01-23,MACH_000431,PROD_02136,LOC_00241,Evening,178,6,0.0337,2.02,Completed
PROD_0193991,2024-03-11,MACH_000236,PROD_00050,LOC_00033,Morning,472,0,0.0,11.11,Completed
PROD_0052060,2026-03-25,MACH_000251,PROD_01935,LOC_00143,Night,232,10,0.0431,2.74,Completed
PROD_0274758,2023-04-12,MACH_000161,PROD_03647,LOC_00097,Night,422,17,0.0403,7.61,Completed
PROD_0001559,2023-01-11,MACH_000248,PROD_03724,LOC_00062,Night,333,5,0.015,6.81,Completed
PROD_0253082,2024-03-18,MACH_001447,PROD_01485,LOC_00090,Night,455,12,0.0264,7.01,Completed
PROD_0181910,2024-05-20,MACH_000435,PROD_04117,LOC_00077,Morning,287,6,0.0209,6.22,Completed
PROD_0145270,2023-06-07,MACH_000303,PROD_03817,LOC_00164,Evening,156,5,0.0321,6.07,Completed
PROD_0186661,2024-08-04,MACH_000865,PROD_03683,LOC_00069,Evening,307,4,0.013,9.95,Completed
PROD_0006480,2023-04-12,MACH_000720,PROD_01428,LOC_00243,Morning,397,11,0.0277,3.32,Completed
PROD_0249415,2021-03-06,MACH_000676,PROD_02791,LOC_00196,Night,323,6,0.0186,7.0,Completed
PROD_0043183,2022-11-14,MACH_001383,PROD_03997,LOC_00084,Morning,136,4,0.0294,2.28,Completed
PROD_0248530,2021-05-05,MACH_000617,PROD_03692,LOC_00101,Morning,180,1,0.0056,9.11,Completed
PROD_0125725,2023-05-05,MACH_001129,PROD_02633,LOC_00056,Night,465,13,0.028,6.38,Completed
PROD_0214269,2023-11-24,MACH_001037,PROD_02873,LOC_00141,Evening,399,0,0.0,3.43,Completed
PROD_0270768,2025-07-14,MACH_001270,PROD_02447,LOC_00076,Night,169,5,0.0296,6.16,Completed
PROD_0141104,2022-12-07,MACH_000736,PROD_02149,LOC_00130,Morning,121,4,0.0331,9.26,Completed
PROD_0292204,2024-08-06,MACH_001329,PROD_00696,LOC_00249,Morning,192,5,0.026,11.65,Completed
PROD_0062009,2022-01-28,MACH_000387,PROD_00050,LOC_00045,Night,70,0,0.0,2.05,Completed
PROD_0089123,2021-03-23,MACH_001339,PROD_04302,LOC_00110,Night,230,0,0.0,4.61,Completed
PROD_0047737,2026-03-05,MACH_001231,PROD_03470,LOC_00127,Evening,473,9,0.019,6.07,Completed
PROD_0222506,2023-04-29,MACH_001176,PROD_04784,LOC_00147,Night,293,1,0.0034,8.7,Completed
PROD_0029629,2024-12-29,MACH_001374,PROD_02197,LOC_00108,Morning,190,7,0.0368,9.06,Completed
PROD_0202217,2023-10-04,MACH_000620,PROD_00801,LOC_00030,Evening,403,15,0.0372,8.07,Completed
PROD_0194829,2022-12-17,MACH_001374,PROD_01914,LOC_00091,Evening,219,3,0.0137,7.38,Completed
PROD_0018650,2023-05-25,MACH_000315,PROD_02895,LOC_00071,Morning,110,3,0.0273,3.0,Completed
PROD_0199021,2024-05-17,MACH_000551,PROD_04648,LOC_00023,Evening,318,3,0.0094,10.94,Completed
PROD_0111555,2021-04-20,MACH_000736,PROD_03274,LOC_00075,Night,230,6,0.0261,11.79,Completed
