supplier_id,supplier_name,supplier_category,country,region,performance_rating,contract_status,supplier_since
SUP_00056,Horton-Cross,Equipment Supplier,Japan,Latin America,4.74,Expired,2025-04-21
SUP_00057,"Higgins, Moore and Phillips",Maintenance Provider,Japan,Latin America,1.04,Active,2026-04-28
SUP_00058,"Fitzgerald, Brown and Edwards",Professional Services,Germany,North America,2.14,Active,2021-04-11
SUP_00059,Shaw-Farrell,Equipment Supplier,Canada,Europe,3.61,Active,2021-11-12
SUP_00060,"Miller, Lopez and Larson",Raw Materials,USA,Latin America,10.0,Active,2024-09-16
SUP_00061,Powell PLC,Equipment Supplier,Japan,Latin America,3.63,Active,2022-05-09
SUP_00062,"Williams, Miller and Sandoval",Equipment Supplier,Sweden,Asia Pacific,3.55,Active,2024-02-08
SUP_00063,Donovan-Harris,Maintenance Provider,France,Europe,2.57,Expired,2024-12-07
SUP_00064,Baker and Sons,Technology Vendor,Germany,Asia Pacific,2.4,Active,2024-09-09
SUP_00065,Bryant-Hickman,Raw Materials,India,Latin America,1.78,Active,2026-02-21
SUP_00066,Ellis PLC,Equipment Supplier,Germany,Latin America,4.07,Active,2026-06-22
SUP_00067,Medina PLC,Maintenance Provider,,Latin America,4.82,Pending Renewal,2022-06-16
SUP_00068,Ibarra-Suarez,Raw Materials,Germany,Latin America,4.81,Active,2023-01-12
SUP_00069,Kim PLC,Equipment Supplier,France,North America,4.92,Active,2024-11-12
SUP_00070,"Riggs, Roman and Rice",Raw Materials,United Kingdom,North America,2.27,Active,2024-09-01
SUP_00071,"Evans, Alvarado and Mcmillan",Maintenance Provider,United States,Europe,3.78,Active,2021-09-27
SUP_00072,Preston Ltd,Maintenance Provider,Japan,Europe,,Active,2024-01-15
SUP_00073,Campbell-Clark,Technology Vendor,Canada,Europe,3.96,Active,2022-11-19
SUP_00074,"Walters, Baker and Freeman",Professional Services,Germany,Europe,2.19,Active,2025-12-22
SUP_00075,Davis Group,Professional Services,Canada,North America,1.33,Active,2025-07-22
SUP_00076,Smith and Sons,Logistics Provider,Sweden,North America,3.6,Active,2024-07-02
SUP_00077,Martin-Ramos,Logistics Provider,Japan,Europe,4.55,Active,2024-11-16
SUP_00078,"Smith, Jones and Ware",Maintenance Provider,Canada,Europe,2.31,Active,2025-12-19
SUP_00079,"Johnson, Wood and Tran",Maintenance Provider,France,North America,3.36,Active,2023-05-13
SUP_00080,Parker Inc,Maintenance Provider,Sweden,Europe,2.21,Active,2025-12-09
SUP_00081,Fleming Ltd,Professional Services,UK,North America,2.09,Pending Renewal,2021-07-26
SUP_00082,"Henson, Russell and Oliver",Maintenance Provider,,Latin America,1.21,Active,2021-11-07
SUP_00083,Hancock and Sons,Logistics Provider,India,Asia Pacific,1.53,Pending Renewal,2025-11-04
SUP_00084,White LLC,Equipment Supplier,Canada,Europe,4.18,Active,2025-04-19
SUP_00085,Pham-Shields,Technology Vendor,,Europe,1.1,Pending Renewal,2025-06-15
SUP_00086,Moore-Haynes,Raw Materials,India,Asia Pacific,,Active,2023-02-07
SUP_00087,Garrison and Sons,Technology Vendor,Canada,North America,1.96,Active,2022-02-05
SUP_00088,Bailey-Hoover,Professional Services,USA,Latin America,2.12,Pending Renewal,2025-10-14
SUP_00089,Johnson and Sons,Professional Services,India,Latin America,3.45,Active,2023-03-11
SUP_00090,Lin-Rasmussen,Equipment Supplier,Sweden,Europe,4.03,Active,2022-07-14
SUP_00091,"Hicks, Frazier and Anthony",Professional Services,France,Latin America,1.38,Active,2022-10-27
SUP_00092,Wilson LLC,Professional Services,France,Latin America,2.9,Active,2021-12-25
SUP_00093,Johnson-Carlson,Logistics Provider,Japan,North America,1.69,Active,2022-11-25
SUP_00094,Graham-Joyce,Technology Vendor,India,Europe,4.8,Expired,2021-08-20
SUP_00095,"Lee, Williams and Graham",Technology Vendor,Sweden,Asia Pacific,3.5,Active,2023-11-09
SUP_00096,"Mcdaniel, Bentley and Mclaughlin",Professional Services,US,Latin America,3.74,Active,2022-01-31
SUP_00097,Jones-Beck,Technology Vendor,Japan,Asia Pacific,1.11,Active,2022-10-25
SUP_00098,Alvarado-Martinez,Logistics Provider,Germany,Latin America,2.55,Active,2025-12-11
SUP_00099,"Parker, Ortiz and Powell",Equipment Supplier,US,North America,4.28,Active,2022-08-17
SUP_00100,Lee Ltd,Technology Vendor,United States,North America,1.83,Active,2026-03-02
SUP_00101,"Adkins, Thompson and Carroll",Maintenance Provider,Sweden,Asia Pacific,1.07,Active,2023-03-26
SUP_00102,Torres and Sons,Raw Materials,Germany,Asia Pacific,,Active,2023-05-13
SUP_00103,"Lawson, Morris and Ramos",Maintenance Provider,Canada,Europe,4.26,Active,2024-09-17
SUP_00104,"Kennedy, Santana and Flynn",Professional Services,Sweden,Europe,2.39,Pending Renewal,2021-12-07
SUP_00105,Campbell Ltd,Raw Materials,Japan,Latin America,4.21,Active,2024-06-23
SUP_00106,Davis-Crane,Raw Materials,Canada,North America,3.27,Active,2022-04-17
SUP_00107,Walker-Gonzalez,Logistics Provider,Germany,Latin America,2.49,Expired,2021-02-18
SUP_00108,Riggs PLC,Maintenance Provider,Japan,Asia Pacific,3.25,Active,2025-09-01
SUP_00109,Gibson Ltd,Raw Materials,India,North America,1.95,Active,2024-02-29
SUP_00110,"Horton, Snyder and Sanchez",Logistics Provider,USA,Europe,4.31,Active,2024-08-09
SUP_00111,Stafford Inc,Raw Materials,Germany,Asia Pacific,1.21,Pending Renewal,2025-04-11
SUP_00112,Thompson Ltd,Raw Materials,Germany,Latin America,2.28,Pending Renewal,2023-11-06
SUP_00113,Grant Inc,Equipment Supplier,Japan,Latin America,2.97,Active,2023-07-05
SUP_00114,Contreras-Travis,Logistics Provider,,Asia Pacific,2.31,Active,2024-04-09
SUP_00115,Salazar-Ball,Raw Materials,Sweden,North America,1.45,Pending Renewal,2023-10-10
SUP_00116,"Griffin, Moore and Hensley",Maintenance Provider,Canada,Asia Pacific,3.2,Active,2023-06-22
SUP_00117,Larsen LLC,Equipment Supplier,India,North America,3.82,Pending Renewal,2025-03-17
SUP_00118,"Washington, Allen and Gonzales",Technology Vendor,US,Europe,3.47,Active,2024-12-02
SUP_00119,Nelson LLC,Professional Services,India,Europe,1.89,Active,2025-11-27
SUP_00120,Taylor and Sons,Technology Vendor,Germany,Europe,1.33,Active,2023-02-08
SUP_00121,Mccarthy Inc,Professional Services,Germany,Latin America,10.0,Expired,2023-04-13
SUP_00122,Daniels-Perry,Raw Materials,India,Asia Pacific,3.37,Active,2022-02-19
SUP_00123,Price-Carrillo,Equipment Supplier,Sweden,Asia Pacific,4.11,Active,2026-03-13
SUP_00124,Gates PLC,Technology Vendor,Germany,Europe,,Active,2023-02-03
SUP_00125,Bender LLC,Technology Vendor,UK,North America,2.87,Active,2025-02-20
SUP_00126,Medina-Navarro,Professional Services,Sweden,Latin America,4.29,Active,2025-05-24
SUP_00127,Freeman LLC,Logistics Provider,Germany,North America,4.85,Active,2023-05-25
SUP_00128,Price Ltd,Raw Materials,USA,North America,1.89,Pending Renewal,2024-09-24
SUP_00129,Ramsey-Pittman,Professional Services,Sweden,North America,1.17,Expired,2026-01-19
SUP_00130,"Ferguson, Meadows and Vargas",Equipment Supplier,France,North America,4.68,Active,2024-08-22
SUP_00131,Day and Sons,Raw Materials,Germany,Latin America,3.09,Active,2025-10-05
SUP_00132,Williams Group,Raw Materials,France,Asia Pacific,3.51,Active,2022-10-19
SUP_00133,Murphy-Juarez,Raw Materials,Japan,Asia Pacific,4.66,Pending Renewal,2023-01-31
SUP_00134,King-Miller,Maintenance Provider,Japan,Latin America,2.82,Active,2021-02-08
SUP_00135,"Williams, Crane and Walker",Logistics Provider,Japan,Europe,3.59,Active,2021-05-18
SUP_00136,"Williams, Johnson and Wright",Logistics Provider,Sweden,Europe,1.31,Pending Renewal,2025-08-11
SUP_00137,"Hernandez, Martinez and Caldwell",Maintenance Provider,Japan,Asia Pacific,1.13,Active,2024-02-06
SUP_00138,Marshall LLC,Professional Services,United Kingdom,Latin America,,Active,2025-03-19
SUP_00139,Obrien Ltd,Professional Services,France,Asia Pacific,,Active,2024-12-12
SUP_00140,Oconnell Inc,Raw Materials,United Kingdom,Asia Pacific,2.67,Pending Renewal,2024-03-06
SUP_00141,Johnston-Odonnell,Professional Services,Canada,Asia Pacific,1.66,Active,2023-01-23
SUP_00142,"Gonzalez, Vargas and Rivas",Technology Vendor,France,North America,,Active,2022-05-03
SUP_00143,"Barton, Jefferson and Burke",Raw Materials,UK,Europe,4.88,Expired,2021-08-31
SUP_00144,"Patton, Reed and Patterson",Technology Vendor,United Kingdom,North America,1.15,Active,2023-01-14
SUP_00145,"Holland, Smith and Fisher",Maintenance Provider,United Kingdom,Latin America,3.77,Active,2023-09-11
SUP_00146,Yu-Reid,Equipment Supplier,United Kingdom,Europe,3.22,Expired,2025-07-21
SUP_00147,"Hernandez, Thompson and Boyd",Technology Vendor,UK,Europe,2.51,Active,2024-07-28
SUP_00148,"Morton, Medina and Webb",Raw Materials,USA,Europe,4.82,Active,2023-05-24
SUP_00149,"Vargas, Morris and Sanchez",Raw Materials,France,North America,4.03,Active,2026-02-18
SUP_00150,Keith-Sanchez,Technology Vendor,India,Latin America,2.99,Active,2023-07-22
SUP_00151,"Barnett, Rogers and Snyder",Technology Vendor,Germany,Asia Pacific,4.41,Active,2022-10-14
SUP_00152,Lewis-Salinas,Maintenance Provider,UK,Europe,4.17,Active,2022-11-14
SUP_00153,"Haynes, Hill and Smith",Professional Services,India,Asia Pacific,3.48,Active,2026-03-17
SUP_00154,Allen Group,Maintenance Provider,Germany,Asia Pacific,3.47,Pending Renewal,2023-09-08
SUP_00155,Vaughn Ltd,Technology Vendor,Canada,Europe,2.57,Active,2024-11-28
SUP_00156,Mcguire-Davis,Logistics Provider,India,Europe,,Active,2022-03-21
SUP_00157,"Sanchez, Beck and Wood",Maintenance Provider,India,Latin America,3.49,Expired,2024-01-16
SUP_00158,Coleman-Reese,Logistics Provider,United Kingdom,North America,2.84,Expired,2022-10-26
SUP_00159,"Chavez, Parker and Hall",Logistics Provider,US,Latin America,2.84,Pending Renewal,2024-12-17
SUP_00160,Wilson-Herrera,Professional Services,United Kingdom,Europe,,Active,2025-03-09
SUP_00161,Lee Ltd,Raw Materials,Germany,Asia Pacific,2.84,Active,2023-08-30
SUP_00162,"Lawrence, Wolf and Carlson",Logistics Provider,Germany,Europe,1.73,Active,2026-05-21
SUP_00163,Phillips LLC,Equipment Supplier,Germany,Latin America,3.06,Pending Renewal,2021-12-26
SUP_00164,Erickson and Sons,Equipment Supplier,UK,Europe,1.16,Active,2022-07-05
SUP_00165,Tran Ltd,Professional Services,Sweden,Europe,1.13,Active,2026-03-09
SUP_00166,"Oneill, Henry and Salas",Logistics Provider,United Kingdom,North America,1.83,Active,2024-02-26
SUP_00167,Mendoza-Peterson,Professional Services,France,Europe,2.29,Active,2026-04-21
SUP_00168,Everett-Woods,Maintenance Provider,India,North America,1.33,Expired,2025-07-08
SUP_00169,Vasquez-Ray,Professional Services,India,Latin America,1.01,Expired,2024-10-09
SUP_00170,Hernandez PLC,Equipment Supplier,Japan,North America,1.74,Active,2026-03-19
SUP_00171,Mcknight Inc,Maintenance Provider,India,Latin America,1.94,Expired,2024-01-25
SUP_00172,Obrien-Gibbs,Technology Vendor,France,Latin America,3.99,Active,2022-03-29
SUP_00173,"James, Kerr and Evans",Equipment Supplier,Japan,Asia Pacific,4.58,Active,2024-03-26
SUP_00174,Torres-Oliver,Professional Services,India,Latin America,4.47,Active,2024-05-07
SUP_00175,"Garcia, Farmer and Garrett",Raw Materials,Germany,Asia Pacific,3.95,Active,2022-06-15
SUP_00176,Moore and Sons,Raw Materials,India,North America,1.85,Active,2024-01-13
SUP_00177,Smith Group,Raw Materials,Sweden,North America,2.37,Active,2024-10-14
SUP_00178,Carter-Hall,Raw Materials,Canada,Asia Pacific,2.99,Active,2024-11-19
SUP_00179,"Heath, Jones and Hall",Technology Vendor,India,Europe,3.23,Active,2022-06-15
SUP_00180,"Lawrence, Lara and Gonzalez",Technology Vendor,Sweden,Asia Pacific,2.14,Active,2021-08-19
SUP_00181,Holland LLC,Technology Vendor,Canada,Latin America,1.98,Active,2025-07-17
SUP_00182,Brown LLC,Raw Materials,France,North America,1.95,Active,2024-04-08
SUP_00183,"Morse, Gonzales and Harrison",Logistics Provider,France,Europe,4.4,Active,2022-09-03
SUP_00184,Bender-Mason,Raw Materials,France,Asia Pacific,1.32,Active,2023-09-18
SUP_00185,George Group,Logistics Provider,Japan,North America,4.99,Expired,2025-01-13
SUP_00186,"Wright, Davis and Hayden",Equipment Supplier,Sweden,Latin America,4.46,Expired,2025-08-04
SUP_00187,"Matthews, Smith and Hubbard",Maintenance Provider,USA,Europe,3.67,Pending Renewal,2025-07-06
SUP_00188,"Williams, Avila and Ruiz",Technology Vendor,India,Asia Pacific,2.12,Expired,2024-07-30
SUP_00189,White-Richards,Maintenance Provider,France,Europe,3.84,Active,2024-06-27
SUP_00190,Costa-Harrison,Logistics Provider,Sweden,North America,1.46,Active,2023-03-31
SUP_00191,Santiago-Hodge,Professional Services,Japan,Europe,3.02,Pending Renewal,2022-10-24
SUP_00192,"Simpson, Bates and Morales",Equipment Supplier,UK,Asia Pacific,1.21,Active,2025-03-06
SUP_00193,Gibson LLC,Technology Vendor,Canada,North America,4.96,Active,2022-05-22
SUP_00194,Cordova Group,Raw Materials,Canada,Latin America,1.56,Active,2025-10-02
SUP_00195,Sandoval PLC,Maintenance Provider,US,Asia Pacific,2.65,Active,2023-07-16
SUP_00196,Lopez LLC,Maintenance Provider,,North America,3.98,Active,2024-06-03
SUP_00197,Garrett-Wolf,Equipment Supplier,United Kingdom,Latin America,4.75,Active,2022-02-13
SUP_00198,"Anderson, Roberts and Gilmore",Maintenance Provider,Germany,North America,1.19,Expired,2023-08-31
SUP_00199,Dudley PLC,Professional Services,Germany,North America,1.81,Active,2025-05-23
SUP_00200,"Moore, Pierce and Tran",Professional Services,United Kingdom,North America,1.94,Active,2021-07-06
SUP_00201,Murray Inc,Raw Materials,France,Latin America,4.51,Active,2024-07-23
SUP_00202,Jimenez Ltd,Maintenance Provider,Japan,Latin America,4.6,Active,2022-08-09
SUP_00203,"Hill, Davenport and Baird",Raw Materials,US,Asia Pacific,1.93,Expired,2022-05-04
SUP_00204,"Thomas, Lee and Greene",Maintenance Provider,India,Europe,1.27,Active,2025-02-06
SUP_00205,Shields LLC,Maintenance Provider,India,Asia Pacific,,Active,2025-03-30
SUP_00206,Morgan-French,Logistics Provider,Japan,Europe,4.18,Active,2022-06-20
SUP_00207,Campbell LLC,Equipment Supplier,Sweden,Europe,4.15,Active,2025-08-07
SUP_00208,"Duarte, Burns and Hernandez",Professional Services,US,North America,4.11,Active,2023-12-17
SUP_00209,Cook-Hines,Technology Vendor,Sweden,Europe,4.05,Expired,2023-01-27
SUP_00210,Kane-Pollard,Maintenance Provider,USA,Europe,3.15,Active,2022-04-25
SUP_00211,Hall-Rowe,Logistics Provider,United Kingdom,Latin America,2.59,Expired,2021-03-29
SUP_00212,"Kennedy, Mcintyre and James",Logistics Provider,UK,North America,3.89,Active,2026-06-06
SUP_00213,"Pollard, Simpson and Johnson",Equipment Supplier,India,Asia Pacific,3.26,Active,2023-10-05
SUP_00214,"Rivera, Garcia and Kirk",Logistics Provider,Germany,North America,1.73,Pending Renewal,2021-07-20
SUP_00215,Smith-Thomas,Technology Vendor,,Europe,4.79,Active,2025-10-14
SUP_00216,Jones LLC,Maintenance Provider,UK,Latin America,1.4,Active,2022-11-11
SUP_00217,"Sanders, Miller and Murphy",Equipment Supplier,Japan,Latin America,4.73,Active,2024-09-14
SUP_00218,"James, Stewart and Higgins",Professional Services,Sweden,North America,3.83,Active,2025-03-04
SUP_00219,"Johnson, Jones and Welch",Technology Vendor,Sweden,Asia Pacific,1.28,Active,2026-01-22
SUP_00220,Francis Group,Raw Materials,France,Latin America,4.7,Active,2026-05-17
SUP_00221,"Padilla, Garcia and Jackson",Professional Services,France,North America,1.66,Active,2022-08-24
SUP_00222,Williams Inc,Raw Materials,,North America,4.48,Active,2022-08-12
SUP_00223,Jordan-Sanchez,Professional Services,Japan,Asia Pacific,2.52,Active,2023-04-07
SUP_00224,"Sparks, Jackson and Miller",Raw Materials,Canada,Latin America,1.02,Active,2025-10-13
SUP_00225,"Vega, Jimenez and Aguilar",Raw Materials,India,Latin America,4.45,Pending Renewal,2022-04-11
SUP_00226,"King, Scott and Smith",Equipment Supplier,India,Europe,3.95,Active,2025-06-03
SUP_00227,Byrd-Moore,Logistics Provider,Germany,Asia Pacific,4.65,Active,2023-06-06
SUP_00228,Huerta-Evans,Logistics Provider,US,Asia Pacific,2.68,Pending Renewal,2026-04-14
SUP_00229,"Wright, Bruce and Gonzalez",Equipment Supplier,USA,North America,3.53,Active,2023-02-11
SUP_00230,Rodriguez-James,Raw Materials,UK,North America,4.84,Active,2022-12-22
SUP_00231,Haney-Phillips,Logistics Provider,France,Europe,3.14,Active,2026-05-16
SUP_00232,"Foster, Smith and Grimes",Professional Services,India,North America,2.59,Active,2025-04-11
SUP_00233,Lozano Ltd,Maintenance Provider,Japan,Asia Pacific,1.82,Active,2023-09-24
SUP_00234,Parsons-Hall,Maintenance Provider,,North America,,Active,2025-05-28
SUP_00235,Fields PLC,Equipment Supplier,US,Europe,2.81,Active,2022-05-18
SUP_00236,"Saunders, Becker and Taylor",Technology Vendor,,North America,2.99,Expired,2021-07-14
SUP_00237,"Lucas, Parker and Alexander",Professional Services,Sweden,North America,1.3,Expired,2024-03-08
SUP_00238,"Anderson, Browning and Murphy",Equipment Supplier,Canada,Europe,3.58,Active,2023-04-14
SUP_00239,Anderson PLC,Logistics Provider,India,Asia Pacific,4.36,Expired,2025-10-25
SUP_00240,Schmidt-Mcintyre,Raw Materials,Japan,North America,,Active,2025-07-24
SUP_00241,Sloan-Raymond,Professional Services,Germany,Asia Pacific,3.38,Active,2026-04-25
SUP_00242,Francis-Morgan,Equipment Supplier,UK,Asia Pacific,3.61,Active,2021-08-20
SUP_00243,Taylor and Sons,Maintenance Provider,Canada,Asia Pacific,3.41,Expired,2025-09-22
SUP_00244,"Craig, Sanders and Singleton",Logistics Provider,Japan,Latin America,,Active,2024-01-23
SUP_00245,Gibbs Inc,Technology Vendor,India,Asia Pacific,1.05,Active,2022-06-15
SUP_00246,Gibson Ltd,Equipment Supplier,India,North America,1.49,Expired,2025-02-11
SUP_00247,Richards-Carson,Technology Vendor,United Kingdom,Latin America,4.57,Expired,2026-03-02
SUP_00248,Leonard Group,Technology Vendor,Sweden,Asia Pacific,4.3,Active,2021-02-20
SUP_00249,"Murphy, Bishop and Holland",Logistics Provider,India,Latin America,3.5,Active,2024-06-28
SUP_00250,Blankenship-Turner,Technology Vendor,France,North America,4.44,Active,2023-03-31
SUP_00251,Williams Inc,Logistics Provider,Canada,Europe,1.56,Expired,2022-09-03
SUP_00252,Wilson-Young,Maintenance Provider,Japan,Asia Pacific,2.88,Active,2023-12-15
SUP_00253,Chavez-Santiago,Raw Materials,Canada,Asia Pacific,2.07,Active,2025-01-30
SUP_00254,"Barnes, Newton and Moore",Raw Materials,United Kingdom,North America,1.56,Expired,2023-04-13
SUP_00255,Bass PLC,Technology Vendor,Sweden,Europe,4.6,Active,2023-03-30
SUP_00256,Johnson-Wood,Maintenance Provider,UK,Asia Pacific,4.66,Active,2023-06-09
SUP_00257,Foley Inc,Maintenance Provider,,North America,1.27,Active,2026-05-22
SUP_00258,Stephens-Levine,Logistics Provider,France,Europe,,Active,2022-12-21
SUP_00259,Hill-Donaldson,Raw Materials,United Kingdom,Asia Pacific,2.07,Active,2026-03-19
SUP_00260,Davis-Lewis,Professional Services,Canada,Latin America,3.66,Active,2024-07-06
SUP_00261,Williams LLC,Technology Vendor,United Kingdom,North America,2.62,Expired,2022-05-04
SUP_00262,Buchanan and Sons,Technology Vendor,France,Latin America,,Active,2021-05-18
SUP_00263,"Clark, Robinson and Kane",Logistics Provider,Germany,North America,4.08,Active,2022-10-22
SUP_00264,Kramer PLC,Equipment Supplier,Germany,Latin America,2.42,Active,2021-01-06
SUP_00265,Huerta PLC,Equipment Supplier,India,Latin America,4.8,Active,2022-05-18
SUP_00266,Rodriguez Inc,Maintenance Provider,Japan,Europe,3.93,Active,2021-09-22
SUP_00267,Tyler-Young,Logistics Provider,Sweden,Asia Pacific,1.65,Expired,2022-10-12
SUP_00268,Baker and Sons,Equipment Supplier,US,Europe,3.39,Active,2025-01-27
SUP_00269,"Wilson, Brown and West",Professional Services,Canada,Europe,2.38,Active,2022-12-28
SUP_00270,"Rodriguez, Gordon and Dougherty",Professional Services,United States,North America,3.75,Active,2021-03-28
SUP_00271,"Boyd, Ellis and Maynard",Equipment Supplier,India,Asia Pacific,1.31,Active,2021-05-03
SUP_00272,Boone-Simmons,Maintenance Provider,Germany,Europe,3.36,Active,2021-08-05
SUP_00273,"Browning, Jones and Miller",Equipment Supplier,Sweden,Asia Pacific,4.85,Expired,2024-05-05
SUP_00274,Martinez PLC,Raw Materials,United States,Asia Pacific,1.74,Active,2024-06-23
SUP_00275,"Joseph, James and Harper",Professional Services,Japan,Asia Pacific,4.04,Active,2022-08-15
SUP_00276,"Jacobs, Garcia and Miles",Raw Materials,Japan,Europe,,Active,2025-09-07
SUP_00277,"Rich, Arnold and Glenn",Raw Materials,Germany,Europe,4.78,Active,2023-05-13
SUP_00278,Gutierrez Group,Raw Materials,Canada,Latin America,1.72,Active,2023-03-11
SUP_00279,"Davis, Simmons and Ortega",Maintenance Provider,Canada,Asia Pacific,1.48,Active,2023-01-21
SUP_00280,Mcdaniel Group,Technology Vendor,Germany,Latin America,2.69,Expired,2021-05-15
SUP_00281,Davis Inc,Logistics Provider,India,Europe,,Active,2025-02-02
SUP_00282,Cain-Hawkins,Raw Materials,Canada,Asia Pacific,3.6,Active,2024-03-22
SUP_00283,"Hoffman, Santiago and Jenkins",Professional Services,Sweden,Latin America,1.31,Active,2025-10-19
SUP_00284,Parrish-Griffith,Logistics Provider,Japan,Europe,3.29,Expired,2026-04-27
SUP_00285,"Edwards, Garcia and Romero",Maintenance Provider,Sweden,North America,2.28,Active,2021-11-07
SUP_00286,Walker-Rodriguez,Technology Vendor,Japan,North America,4.51,Active,2025-08-23
