facility_name,revenue
Rebeccaton Warehouse,60265672.06
East Edwardfurt Service Center,60250374.28
Mccartyberg Manufacturing Plant,60230118.33
Port Robin Manufacturing Plant,60215282.53
East Steven Distribution Center,60204348.12
Juliemouth Manufacturing Plant,60161805.57
West Jeffreyland Warehouse,60158300.47
Williamview Headquarters,60157587.94
Steinshire Service Center,60154911.42
Angelaborough Distribution Center,60114015.63
Courtneyfort Manufacturing Plant,60113661.6
Taylormouth Distribution Center,60060724.42
Cassandratown Manufacturing Plant,60059169.13
New Jessica Service Center,59884039.73
Port Francisco Service Center,59877471.93
Danielchester Manufacturing Plant,59865112.38
New Caseyport Manufacturing Plant,59857267.04
Mollybury Manufacturing Plant,59826548.04
South David Manufacturing Plant,59808509.09
West Juan Warehouse,59780416.31
New Jeffrey Warehouse,59759914.51
Sanchezfort Manufacturing Plant,59700736.09
Mooreport Manufacturing Plant,59696910.02
North Susan Manufacturing Plant,59680139.99
East Javier Manufacturing Plant,59669435.42
Lake Lance Distribution Center,59663923.94
New Staciemouth Service Center,59641884.0
Simsview Warehouse,59632409.11
North John Manufacturing Plant,59621975.98
North Renee Distribution Center,59596387.15
Kimberlychester Manufacturing Plant,59572152.3
Daniellechester Manufacturing Plant,59571845.15
Lake Marilynfort Headquarters,59442634.35
Melissaside Service Center,59366265.84
Morganhaven Manufacturing Plant,59339298.06
New Jamesside Headquarters,59294021.11
Lake Michelle Distribution Center,59283602.78
North Breannahaven Distribution Center,59246644.92
New Laurie Distribution Center,59243299.77
Elizabethmouth Warehouse,59210362.45
Rebeccaton Distribution Center,59177442.23
New Monicabury Manufacturing Plant,59174584.14
Perryborough Service Center,59165738.25
North Terrance Manufacturing Plant,59140074.25
Jerryborough Distribution Center,59129526.0
Port Alexandra Distribution Center,59129170.58
Thomasberg Headquarters,59091815.29
New Rita Manufacturing Plant,59089575.14
Michaelhaven Manufacturing Plant,59071581.28
Brennanfort Headquarters,59063034.68
West Michaelchester Manufacturing Plant,59060783.5
South Martha Headquarters,59053959.81
Port Matthew Manufacturing Plant,59038959.61
Tinaborough Distribution Center,59036359.59
New Elijahberg Headquarters,59033935.32
Nelsonside Manufacturing Plant,59028292.15
Lake Larry Service Center,59017178.81
Calderonton Manufacturing Plant,58992457.86
Port Nicoleshire Manufacturing Plant,58986180.49
Lake Lisaport Headquarters,58979171.85
Port Craig Service Center,58969725.43
Reedmouth Distribution Center,58965917.06
Benderhaven Manufacturing Plant,58950070.47
East Davidchester Warehouse,58937835.64
Cervantesside Manufacturing Plant,58904383.6
Howardshire Warehouse,58883227.96
Thompsonberg Warehouse,58878868.79
Coxberg Manufacturing Plant,58874326.42
Rodriguezfurt Distribution Center,58849545.99
Thompsonhaven Manufacturing Plant,58823769.35
Byrdburgh Distribution Center,58812891.11
Port Sarah Distribution Center,58801163.46
Port Erin Warehouse,58797924.46
New Jillton Distribution Center,58797893.11
Garciatown Manufacturing Plant,58783557.12
Port Leslieview Service Center,58735664.04
Meaganhaven Warehouse,58679822.53
South Lindseyside Manufacturing Plant,58674176.27
Andersonport Distribution Center,58647629.87
Grahamshire Manufacturing Plant,58633151.15
West Shelleyfort Service Center,58620415.95
Sandovalshire Distribution Center,58597484.58
South Kristi Warehouse,58575965.13
Juliechester Manufacturing Plant,58571019.29
New Jasonview Warehouse,58538131.2
Samuelhaven Warehouse,58537834.03
North Richardmouth Distribution Center,58503326.67
Port Chad Manufacturing Plant,58463707.03
South Matthewfurt Distribution Center,58461227.76
Brandiberg Warehouse,58450195.93
Thomashaven Service Center,58436401.52
Coffeyside Warehouse,58396729.16
South Angel Manufacturing Plant,58391200.38
West Kristinaton Manufacturing Plant,58349368.84
Hancocktown Manufacturing Plant,58344194.82
South April Service Center,58330144.9
South Shannonfort Service Center,58320199.05
Barbarafurt Warehouse,58313297.37
New Brooke Manufacturing Plant,58271907.79
Zacharymouth Service Center,58237868.8
New Stacey Headquarters,58167564.92
Richardtown Distribution Center,58157886.58
Lake Joyside Manufacturing Plant,58144098.24
Lawrencetown Manufacturing Plant,58134053.26
Snyderbury Warehouse,58103223.49
Holtport Service Center,58097946.2
Bairdbury Headquarters,58048864.72
Garrettton Distribution Center,58048018.51
Robinfort Distribution Center,58038099.34
Medinaside Warehouse,58024657.84
New Johnfort Warehouse,58018341.0
Nicolebury Manufacturing Plant,58000826.83
West Kathryn Warehouse,57991329.45
West Daniel Warehouse,57968126.54
Garyville Distribution Center,57936132.67
Rogersfort Distribution Center,57931508.9
Cindyville Distribution Center,57911727.24
Lake Roberto Manufacturing Plant,57868250.88
Jamesmouth Warehouse,57859088.23
Stanleyland Manufacturing Plant,57845294.05
South Tiffanyville Manufacturing Plant,57845118.91
Port Emilyview Distribution Center,57683442.19
Alexanderchester Headquarters,57669155.74
Herrerafurt Warehouse,57665396.56
West Jessicashire Headquarters,57647667.7
Jonesbury Distribution Center,57638406.64
Dicksonberg Headquarters,57631479.57
Smithberg Distribution Center,57584927.08
Williamchester Warehouse,57517294.23
Allisonchester Headquarters,57454053.43
Michaelmouth Warehouse,57395837.97
Joshuaview Distribution Center,57261857.47
South Travisshire Distribution Center,57243262.9
Port Kimberly Headquarters,57231610.13
South Danny Distribution Center,57230891.66
Sheilaville Warehouse,57161834.42
Costafort Warehouse,57136852.71
Baileybury Manufacturing Plant,57123025.54
New Mariotown Warehouse,57111526.07
Knightburgh Warehouse,57107785.99
East Johnside Service Center,57018118.51
Sanchezmouth Manufacturing Plant,56990684.39
Gutierrezborough Manufacturing Plant,56927234.53
Mcguireland Headquarters,56900107.82
Mariastad Distribution Center,56891749.25
South James Warehouse,56880742.21
North Brittany Headquarters,56829021.38
Natashaport Distribution Center,56823108.58
Manuelville Service Center,56753787.41
South Rachelborough Warehouse,56647846.37
Harrytown Manufacturing Plant,56612064.82
South Tammie Distribution Center,56504301.95
West Johnnyville Headquarters,56474097.68
Lake Tina Service Center,56463630.2
Heidiberg Service Center,56446929.79
South Aaron Manufacturing Plant,56433963.73
North Sarabury Service Center,56304192.3
East Linda Warehouse,56282014.65
Lake Thomas Service Center,56276416.39
Jimmymouth Distribution Center,56208686.53
West Samuel Manufacturing Plant,56198621.46
Port Erica Warehouse,56061853.18
Andreaside Manufacturing Plant,56055797.85
Port Michelleville Distribution Center,56005435.27
East Jamesside Headquarters,55998998.64
Stevenmouth Manufacturing Plant,55973239.76
Mitchellside Distribution Center,55903890.01
North Stephenshire Warehouse,55854650.81
Port Jaredborough Warehouse,55681591.06
Millerton Distribution Center,55673947.95
East Josephville Warehouse,55586889.25
Mendozamouth Manufacturing Plant,55241122.85
Lake John Service Center,55181219.45
Mollymouth Distribution Center,55014128.27
North Judithbury Service Center,54994233.44
Cindyfurt Distribution Center,54915595.09
Lake Thomas Distribution Center,54474420.97
North Teresabury Manufacturing Plant,54392684.35
South Dennismouth Warehouse,54073550.79
Hillshire Manufacturing Plant,54035589.57
New John Service Center,53927039.8
